Country,State,Code,Pop,Source
China,安徽,,62550000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,北京,,21710000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,重庆,,30750000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,福建,,39110000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,甘肃,,26260000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,广东,,111690000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,广西,,48850000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,贵州,,35550000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,海南,,9170000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,河北,,75200000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,黑龙江,,37890000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,河南,,95590000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,香港,,7335384,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,湖北,,59020000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,湖南,,68600000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,内蒙古,,25290000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,江苏,,80290000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,江西,,46220000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,吉林,,27170000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,辽宁,,43690000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,澳门,,644900,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,宁夏,,6820000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,青海,,5980000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,陕西,,36820000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,山东,,100060000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,上海,,24180000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,陕西,,38350000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,四川,,83020000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,天津,,15570000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,西藏,,3370000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,新疆,,24450000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,云南,,48010000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,浙江,,56570000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
China,山西,,37020000,https://en.wikipedia.org/wiki/List_of_Chinese_administrative_divisions_by_population
