累计确诊,累计治愈,累计死亡,疑似,时间,地点
1,0,0,0,2019/12/01,湖北,武汉市
1,0,0,0,2019/12/02,湖北,武汉市
1,0,0,0,2019/12/03,湖北,武汉市
1,0,0,0,2019/12/04,湖北,武汉市
1,0,0,0,2019/12/05,湖北,武汉市
1,0,0,0,2019/12/06,湖北,武汉市
1,0,0,0,2019/12/07,湖北,武汉市
1,0,0,0,2019/12/08,湖北,武汉市
1,0,0,0,2019/12/09,湖北,武汉市
1,0,0,0,2019/12/10,湖北,武汉市
4,0,0,0,2019/12/11,湖北,武汉市
4,0,0,0,2019/12/12,湖北,武汉市
4,0,0,0,2019/12/13,湖北,武汉市
4,0,0,0,2019/12/14,湖北,武汉市
6,0,0,0,2019/12/15,湖北,武汉市
6,0,0,0,2019/12/16,湖北,武汉市
7,0,0,0,2019/12/17,湖北,武汉市
8,0,0,0,2019/12/18,湖北,武汉市
9,0,0,0,2019/12/19,湖北,武汉市
14,0,0,0,2019/12/20,湖北,武汉市
18,0,0,0,2019/12/21,湖北,武汉市
21,0,0,0,2019/12/22,湖北,武汉市
29,0,0,0,2019/12/23,湖北,武汉市
30,0,0,0,2019/12/24,湖北,武汉市
33,0,0,0,2019/12/25,湖北,武汉市
35,0,0,0,2019/12/26,湖北,武汉市
37,0,0,0,2019/12/27,湖北,武汉市
37,0,0,0,2019/12/28,湖北,武汉市
37,0,0,0,2019/12/29,湖北,武汉市
37,0,0,0,2019/12/30,湖北,武汉市
40,0,0,0,2019/12/31,湖北,武汉市
43,0,0,0,2020/01/01,湖北,武汉市
44,0,0,0,2020/01/02,湖北,武汉市
41,0,0,0,2020/01/03,湖北,武汉市
41,0,0,0,2020/01/04,湖北,武汉市
41,0,0,0,2020/01/05,湖北,武汉市
41,0,0,0,2020/01/06,湖北,武汉市
41,0,0,0,2020/01/07,湖北,武汉市
41,0,0,0,2020/01/08,湖北,武汉市
41,0,0,0,2020/01/09,湖北,武汉市
41,2,1,0,2020/01/10,湖北,武汉市
41,6,1,0,2020/01/11,湖北,武汉市
41,7,1,0,2020/01/12,湖北,武汉市
41,7,1,0,2020/01/13,湖北,武汉市
41,7,1,0,2020/01/14,湖北,武汉市
41,12,2,0,2020/01/15,湖北,武汉市
45,15,2,0,2020/01/16,湖北,武汉市
62,19,2,0,2020/01/17,湖北,武汉市
121,24,3,0,2020/01/18,湖北,武汉市
198,25,3,0,2020/01/19,湖北,武汉市
258,25,6,0,2020/01/20,湖北,武汉市
275,25,6,0,2020/01/21,湖北,武汉市
337,27,8,0,2020/01/22,湖北,武汉市
495,30,17,0,2020/01/23,湖北,武汉市
572,36,38,0,2020/01/24,湖北,武汉市
618,40,45,0,2020/01/25,湖北,武汉市
698,42,63,0,2020/01/26,湖北,武汉市
1590,0,85,0,2020/01/27,湖北,武汉市
1905,0,104,0,2020/01/28,湖北,武汉市
2261,0,129,0,2020/01/29,湖北,武汉市
2639,0,159,0,2020/01/30,湖北,武汉市
3215,0,192,0,2020/01/31,湖北,武汉市
4109,0,224,0,2020/02/01,湖北,武汉市
5142,0,265,0,2020/02/02,湖北,武汉市
6384,0,313,0,2020/02/03,湖北,武汉市
8351,0,362,0,2020/02/04,湖北,武汉市
10117,0,414,0,2020/02/05,湖北,武汉市
11618,0,478,0,2020/02/06,湖北,武汉市
11618,498,478,0,2020/02/07,湖北,武汉市
13603,662,545,0,2020/02/08,湖北,武汉市
14982,841,608,0,2020/02/09,湖北,武汉市
16902,1044,681,0,2020/02/10,湖北,武汉市
18454,1243,748,0,2020/02/11,湖北,武汉市
19558,1377,820,0,2020/02/12,湖北,武汉市
32994,1922,1036,0,2020/02/13,湖北,武汉市
35991,2016,1016,0,2020/02/14,湖北,武汉市
37914,2602,1123,0,2020/02/15,湖北,武汉市
39462,2937,1233,0,2020/02/16,湖北,武汉市
41152,3458,1309,0,2020/02/17,湖北,武汉市
42752,4253,1381,0,2020/02/18,湖北,武汉市
44412,4990,1497,0,2020/02/19,湖北,武汉市
45027,5573,1585,0,2020/02/20,湖北,武汉市
45346,6280,1684,0,2020/02/21,湖北,武汉市
45660,7278,1774,0,2020/02/22,湖北,武汉市
46201,8186,1856,0,2020/02/23,湖北,武汉市
46607,8950,1987,0,2020/02/24,湖北,武汉市
47071,10364,2043,0,2020/02/25,湖北,武汉市
47441,11816,2085,0,2020/02/26,湖北,武汉市
47824,13474,2104,0,2020/02/27,湖北,武汉市
48137,15853,2132,0,2020/02/28,湖北,武汉市
48557,17656,2169,0,2020/02/29,湖北,武汉市
49122,19534,2195,0,2020/03/01,湖北,武汉市
49315,21349,2227,0,2020/03/02,湖北,武汉市
49426,23063,2252,0,2020/03/03,湖北,武汉市
49540,24892,2282,0,2020/03/04,湖北,武汉市
49671,26404,2305,0,2020/03/05,湖北,武汉市
49797,27420,2328,0,2020/03/06,湖北,武汉市
49871,28563,2349,0,2020/03/07,湖北,武汉市
49912,29908,2370,0,2020/03/08,湖北,武汉市
49948,30985,2389,0,2020/03/09,湖北,武汉市
49965,31974,2404,0,2020/03/10,湖北,武汉市
49978,33117,2423,0,2020/03/11,湖北,武汉市
49986,34094,2430,0,2020/03/12,湖北,武汉市
49991,35197,2436,0,2020/03/13,湖北,武汉市
49995,36465,2446,0,2020/03/14,湖北,武汉市
49999,37643,2456,0,2020/03/15,湖北,武汉市
50003,38424,2469,0,2020/03/16,湖北,武汉市
50004,39220,2480,0,2020/03/17,湖北,武汉市
