累计确诊,累计治愈,累计死亡,疑似,时间,地点
1,0,0,0,2019/12/01,湖北
1,0,0,0,2019/12/02,湖北
1,0,0,0,2019/12/03,湖北
1,0,0,0,2019/12/04,湖北
1,0,0,0,2019/12/05,湖北
1,0,0,0,2019/12/06,湖北
1,0,0,0,2019/12/07,湖北
1,0,0,0,2019/12/08,湖北
1,0,0,0,2019/12/09,湖北
1,0,0,0,2019/12/10,湖北
4,0,0,0,2019/12/11,湖北
4,0,0,0,2019/12/12,湖北
4,0,0,0,2019/12/13,湖北
4,0,0,0,2019/12/14,湖北
6,0,0,0,2019/12/15,湖北
6,0,0,0,2019/12/16,湖北
7,0,0,0,2019/12/17,湖北
8,0,0,0,2019/12/18,湖北
9,0,0,0,2019/12/19,湖北
14,0,0,0,2019/12/20,湖北
18,0,0,0,2019/12/21,湖北
21,0,0,0,2019/12/22,湖北
29,0,0,0,2019/12/23,湖北
30,0,0,0,2019/12/24,湖北
33,0,0,0,2019/12/25,湖北
35,0,0,0,2019/12/26,湖北
37,0,0,0,2019/12/27,湖北
37,0,0,0,2019/12/28,湖北
37,0,0,0,2019/12/29,湖北
37,0,0,0,2019/12/30,湖北
40,0,0,0,2019/12/31,湖北
43,0,0,0,2020/01/01,湖北
44,0,0,0,2020/01/02,湖北
41,0,0,0,2020/01/03,湖北
41,0,0,0,2020/01/04,湖北
41,0,0,0,2020/01/05,湖北
41,0,0,0,2020/01/06,湖北
41,0,0,0,2020/01/07,湖北
41,0,0,0,2020/01/08,湖北
41,0,0,0,2020/01/09,湖北
41,2,1,0,2020/01/10,湖北
41,6,1,0,2020/01/11,湖北
41,7,1,0,2020/01/12,湖北
41,7,1,0,2020/01/13,湖北
41,7,1,0,2020/01/14,湖北
41,12,2,0,2020/01/15,湖北
45,15,2,0,2020/01/16,湖北
62,19,2,0,2020/01/17,湖北
121,24,3,0,2020/01/18,湖北
198,25,3,0,2020/01/19,湖北
1,0,0,0,2020/01/19,广东
5,0,0,0,2020/01/20,北京
0,0,0,1,2020/01/20,吉林
1,0,0,0,2020/01/20,上海
0,0,0,16,2020/01/20,浙江
0,0,0,1,2020/01/20,安徽
0,0,0,2,2020/01/20,江西
0,0,0,1,2020/01/20,山东
270,25,6,0,2020/01/20,湖北
14,0,0,7,2020/01/20,广东
0,0,0,1,2020/01/20,广西
0,0,0,1,2020/01/20,海南
0,0,0,3,2020/01/20,四川
0,0,0,1,2020/01/20,贵州
0,0,0,1,2020/01/20,云南
0,0,0,1,2020/01/20,宁夏
10,0,0,0,2020/01/21,北京
2,0,0,0,2020/01/21,天津
0,0,0,1,2020/01/21,山西
0,0,0,1,2020/01/21,吉林
0,0,0,1,2020/01/21,黑龙江
6,0,0,3,2020/01/21,上海
5,0,0,0,2020/01/21,浙江
0,0,0,1,2020/01/21,安徽
2,0,0,0,2020/01/21,江西
1,0,0,0,2020/01/21,山东
1,0,0,0,2020/01/21,河南
375,28,9,0,2020/01/21,湖北
1,0,0,0,2020/01/21,湖南
26,0,0,0,2020/01/21,广东
0,0,0,2,2020/01/21,广西
0,0,0,1,2020/01/21,海南
5,0,0,0,2020/01/21,重庆
2,0,0,5,2020/01/21,四川
0,0,0,1,2020/01/21,贵州
1,0,0,0,2020/01/21,云南
0,0,0,1,2020/01/21,宁夏
14,0,0,0,2020/01/22,北京
4,0,0,0,2020/01/22,天津
1,0,0,0,2020/01/22,河北
1,0,0,0,2020/01/22,山西
2,0,0,0,2020/01/22,辽宁
1,0,0,0,2020/01/22,吉林
1,0,0,0,2020/01/22,黑龙江
16,0,0,22,2020/01/22,上海
1,0,0,0,2020/01/22,江苏
10,0,0,0,2020/01/22,浙江
1,0,0,4,2020/01/22,安徽
1,0,0,0,2020/01/22,福建
3,0,0,0,2020/01/22,江西
6,0,0,0,2020/01/22,山东
5,0,0,0,2020/01/22,河南
444,28,17,0,2020/01/22,湖北
4,0,0,0,2020/01/22,湖南
32,0,0,0,2020/01/22,广东
2,0,0,1,2020/01/22,广西
5,0,0,32,2020/01/22,海南
9,0,0,0,2020/01/22,重庆
5,0,0,2,2020/01/22,四川
3,0,0,0,2020/01/22,贵州
4,0,0,0,2020/01/22,陕西
1,0,0,0,2020/01/22,宁夏
1,0,0,0,2020/01/22,台湾
1,0,0,0,2020/01/22,香港
1,0,0,0,2020/01/22,澳门
22,0,0,0,2020/01/23,北京
5,0,0,0,2020/01/23,天津
2,0,1,0,2020/01/23,河北
1,0,0,0,2020/01/23,山西
1,0,0,2,2020/01/23,内蒙古
4,0,0,0,2020/01/23,辽宁
3,0,0,0,2020/01/23,吉林
4,0,1,0,2020/01/23,黑龙江
20,0,0,34,2020/01/23,上海
9,0,0,0,2020/01/23,江苏
43,1,0,0,2020/01/23,浙江
15,0,0,0,2020/01/23,安徽
4,0,0,0,2020/01/23,福建
7,0,0,0,2020/01/23,江西
9,0,0,0,2020/01/23,山东
9,0,0,0,2020/01/23,河南
549,31,24,0,2020/01/23,湖北
24,0,0,0,2020/01/23,湖南
53,2,0,0,2020/01/23,广东
13,0,0,0,2020/01/23,广西
8,0,0,0,2020/01/23,海南
27,0,0,0,2020/01/23,重庆
15,0,0,0,2020/01/23,四川
3,0,0,0,2020/01/23,贵州
2,0,0,0,2020/01/23,云南
5,0,0,0,2020/01/23,陕西
2,0,0,1,2020/01/23,甘肃
2,0,0,1,2020/01/23,宁夏
2,0,0,0,2020/01/23,新疆
1,0,0,0,2020/01/23,台湾
